"store";"sku";"price";"msrp"
"store_7x24petshop_main_tr";"KEGDA340242";66;66
"store_7x24petshop_main_tr";"KEGDA340238";4,4;4,4
"store_7x24petshop_main_tr";"KEGDA340241";18,5;18,5
"store_7x24petshop_main_tr";"KEGDA340237";4,4;4,4
"store_7x24petshop_main_tr";"KEGDA340240";18,5;18,5
"store_7x24petshop_main_tr";"KEGDA340243";66;66
"store_7x24petshop_main_tr";"KEGDA340137";2,5;2,5
"store_7x24petshop_main_tr";"KOGDA340338";75;75
"store_7x24petshop_main_tr";"KOGDA340339";75;75
"store_7x24petshop_main_tr";"KOGDA340378";10,5;10,5
"store_7x24petshop_main_tr";"KOGDA340375";9,9;9,9
"store_7x24petshop_main_tr";"KOGDA340376";11;11
"store_7x24petshop_main_tr";"KOGDA340374";8;8
"store_7x24petshop_main_tr";"KEGDA340117";7,5;7,5
"store_7x24petshop_main_tr";"KEGDA340118";6,75;6,75
"store_7x24petshop_main_tr";"KEGDA340119";6,75;6,75
"store_7x24petshop_main_tr";"KOGDA12150846";181,11;201,23
"store_7x24petshop_main_tr";"KEGDA340244";66;66
"store_7x24petshop_main_tr";"KEGDA340124";2,5;2,5
"store_7x24petshop_main_tr";"KEGDA99016";2,79;2,79
"store_7x24petshop_main_tr";"KOGDA99101";2,45;2,45
"store_7x24petshop_main_tr";"KOGDA99102";2,45;2,45
"store_7x24petshop_main_tr";"KOGDA99103";2,45;2,45
"store_7x24petshop_main_tr";"KOGDA99105";2,79;2,79
"store_7x24petshop_main_tr";"KUGDA1111";1,71;1,9
"store_7x24petshop_main_tr";"KOGDA1115";15,29;16,99
"store_7x24petshop_main_tr";"KOGDA1139";67,65;75,17
"store_7x24petshop_main_tr";"KOGDA1214";14,45;16,05
"store_7x24petshop_main_tr";"KOGDA1238";63,5;70,56
"store_7x24petshop_main_tr";"KOGDA1337";63,5;70,56
"store_7x24petshop_main_tr";"KOGDA1412";14,45;16,05
"store_7x24petshop_main_tr";"KOGDA1436";63,5;70,56
"store_7x24petshop_main_tr";"KEBKM5060255490655";29,33;37,13
"store_7x24petshop_main_tr";"KEBKM5060255490044";29,33;37,13
"store_7x24petshop_main_tr";"KEBKM5060255490068";29,33;37,13
"store_7x24petshop_main_tr";"KEBKM5060255490105";29,33;37,13
"store_7x24petshop_main_tr";"KEBKM5060255490082";29,33;37,13
"store_7x24petshop_main_tr";"KEBKM5060255490679";29,33;37,13
"store_7x24petshop_main_tr";"KEBKM8698566790910";10,02;10,02
"store_7x24petshop_main_tr";"KEBKM1005";10,35;10,35
"store_7x24petshop_main_tr";"KOGDA3218";15,29;16,99
"store_7x24petshop_main_tr";"KOGDA3232";67,65;75,17
"store_7x24petshop_main_tr";"KOGDA1719";127,44;141,6
"store_7x24petshop_main_tr";"KOGDA4017";2,35;2,35
"store_7x24petshop_main_tr";"KOGDA4024";2,35;2,35
"store_7x24petshop_main_tr";"KEGDA2129";17,42;19,35
"store_7x24petshop_main_tr";"KEGDA2112";4,25;4,72
"store_7x24petshop_main_tr";"KEGDA2457";4,25;4,72
"store_7x24petshop_main_tr";"KEGDA2464";17,42;19,35
